category,model,round_date,actual,forecast
Category B,log+drift+quota,2026-09-01,135001.0,131391
Category C,naive,2025-09-15,72501.0,71556
Category C,naive,2025-10-01,74301.0,72501
Category C,naive,2025-10-15,76801.0,74301
Category C,naive,2025-11-01,76000.0,76801
Category C,naive,2025-11-15,76389.0,76000
Category C,naive,2025-12-01,76501.0,76389
Category C,naive,2025-12-15,77003.0,76501
Category C,naive,2026-01-01,75503.0,77003
Category C,naive,2026-01-15,75202.0,75503
Category C,naive,2026-02-01,74801.0,75202
Category C,naive,2026-02-15,74999.0,74801
Category C,naive,2026-03-01,76000.0,74999
Category C,naive,2026-03-15,78000.0,76000
Category C,naive,2026-04-01,80001.0,78000
Category C,naive,2026-04-15,83501.0,80001
Category C,naive,2026-05-01,87479.0,83501
Category C,naive,2026-05-15,92223.0,87479
Category C,naive,2026-06-01,94000.0,92223
Category C,naive,2026-06-15,93001.0,94000
Category C,naive,2026-07-01,95000.0,93001
Category C,naive,2026-07-15,93889.0,95000
Category C,naive,2026-08-01,91545.0,93889
Category C,naive,2026-08-15,90002.0,91545
Category C,naive,2026-09-01,93101.0,90002
Category C,arima,2025-09-15,72501.0,70899
Category C,arima,2025-10-01,74301.0,72366
Category C,arima,2025-10-15,76801.0,74516
Category C,arima,2025-11-01,76000.0,76925
Category C,arima,2025-11-15,76389.0,75239
Category C,arima,2025-12-01,76501.0,76132
Category C,arima,2025-12-15,77003.0,76403
Category C,arima,2026-01-01,75503.0,76888
Category C,arima,2026-01-15,75202.0,74987
Category C,arima,2026-02-01,74801.0,75137
Category C,arima,2026-02-15,74999.0,74839
Category C,arima,2026-03-01,76000.0,75078
Category C,arima,2026-03-15,78000.0,76269
Category C,arima,2026-04-01,80001.0,78363
Category C,arima,2026-04-15,83501.0,80165
Category C,arima,2026-05-01,87479.0,83877
Category C,arima,2026-05-15,92223.0,87791
Category C,arima,2026-06-01,94000.0,92481
Category C,arima,2026-06-15,93001.0,93380
Category C,arima,2026-07-01,95000.0,91805
Category C,arima,2026-07-15,93889.0,95071
Category C,arima,2026-08-01,91545.0,93209
Category C,arima,2026-08-15,90002.0,90576
Category C,arima,2026-09-01,93101.0,89769
Category C,arima+quota,2025-09-15,72501.0,70925
Category C,arima+quota,2025-10-01,74301.0,72337
Category C,arima+quota,2025-10-15,76801.0,74503
Category C,arima+quota,2025-11-01,76000.0,76898
Category C,arima+quota,2025-11-15,76389.0,75258
Category C,arima+quota,2025-12-01,76501.0,76097
Category C,arima+quota,2025-12-15,77003.0,76410
Category C,arima+quota,2026-01-01,75503.0,76879
Category C,arima+quota,2026-01-15,75202.0,75010
Category C,arima+quota,2026-02-01,74801.0,75111
Category C,arima+quota,2026-02-15,74999.0,74851
Category C,arima+quota,2026-03-01,76000.0,75082
Category C,arima+quota,2026-03-15,78000.0,76257
Category C,arima+quota,2026-04-01,80001.0,78342
Category C,arima+quota,2026-04-15,83501.0,80163
Category C,arima+quota,2026-05-01,87479.0,83835
Category C,arima+quota,2026-05-15,92223.0,87768
Category C,arima+quota,2026-06-01,94000.0,92443
Category C,arima+quota,2026-06-15,93001.0,93379
Category C,arima+quota,2026-07-01,95000.0,91795
Category C,arima+quota,2026-07-15,93889.0,95028
Category C,arima+quota,2026-08-01,91545.0,93225
Category C,arima+quota,2026-08-15,90002.0,90592
Category C,arima+quota,2026-09-01,93101.0,89760
Category C,log+drift,2025-09-15,72501.0,71020
Category C,log+drift,2025-10-01,74301.0,72451
Category C,log+drift,2025-10-15,76801.0,74608
Category C,log+drift,2025-11-01,76000.0,76909
Category C,log+drift,2025-11-15,76389.0,75394
Category C,log+drift,2025-12-01,76501.0,76275
Category C,log+drift,2025-12-15,77003.0,76613
Category C,log+drift,2026-01-01,75503.0,77054
Category C,log+drift,2026-01-15,75202.0,75283
Category C,log+drift,2026-02-01,74801.0,75401
Category C,log+drift,2026-02-15,74999.0,75124
Category C,log+drift,2026-03-01,76000.0,75312
Category C,log+drift,2026-03-15,78000.0,76466
Category C,log+drift,2026-04-01,80001.0,78485
Category C,log+drift,2026-04-15,83501.0,80236
Category C,log+drift,2026-05-01,87479.0,83836
Category C,log+drift,2026-05-15,92223.0,87656
Category C,log+drift,2026-06-01,94000.0,92177
Category C,log+drift,2026-06-15,93001.0,93205
Category C,log+drift,2026-07-01,95000.0,91893
Category C,log+drift,2026-07-15,93889.0,95098
Category C,log+drift,2026-08-01,91545.0,93463
Category C,log+drift,2026-08-15,90002.0,90946
Category C,log+drift,2026-09-01,93101.0,90226
Category C,log+drift+quota,2025-09-15,72501.0,71115
Category C,log+drift+quota,2025-10-01,74301.0,72423
Category C,log+drift+quota,2025-10-15,76801.0,74611
Category C,log+drift+quota,2025-11-01,76000.0,76780
Category C,log+drift+quota,2025-11-15,76389.0,75492
Category C,log+drift+quota,2025-12-01,76501.0,76190
Category C,log+drift+quota,2025-12-15,77003.0,76641
Category C,log+drift+quota,2026-01-01,75503.0,77045
Category C,log+drift+quota,2026-01-15,75202.0,75414
Category C,log+drift+quota,2026-02-01,74801.0,75350
Category C,log+drift+quota,2026-02-15,74999.0,75177
Category C,log+drift+quota,2026-03-01,76000.0,75315
Category C,log+drift+quota,2026-03-15,78000.0,76444
Category C,log+drift+quota,2026-04-01,80001.0,78454
Category C,log+drift+quota,2026-04-15,83501.0,80257
Category C,log+drift+quota,2026-05-01,87479.0,83775
Category C,log+drift+quota,2026-05-15,92223.0,87660
Category C,log+drift+quota,2026-06-01,94000.0,92158
Category C,log+drift+quota,2026-06-15,93001.0,93285
Category C,log+drift+quota,2026-07-01,95000.0,91947
Category C,log+drift+quota,2026-07-15,93889.0,95068
Category C,log+drift+quota,2026-08-01,91545.0,93539
Category C,log+drift+quota,2026-08-15,90002.0,91030
Category C,log+drift+quota,2026-09-01,93101.0,90223
Category D,naive,2025-09-15,9209.0,9101
Category D,naive,2025-10-01,9810.0,9209
Category D,naive,2025-10-15,9389.0,9810
Category D,naive,2025-11-01,8600.0,9389
Category D,naive,2025-11-15,8729.0,8600
Category D,naive,2025-12-01,8289.0,8729
Category D,naive,2025-12-15,8081.0,8289
Category D,naive,2026-01-01,8689.0,8081
Category D,naive,2026-01-15,8860.0,8689
Category D,naive,2026-02-01,8289.0,8860
Category D,naive,2026-02-15,7989.0,8289
Category D,naive,2026-03-01,8602.0,7989
Category D,naive,2026-03-15,9589.0,8602
Category D,naive,2026-04-01,10000.0,9589
Category D,naive,2026-04-15,9290.0,10000
Category D,naive,2026-05-01,9452.0,9290
Category D,naive,2026-05-15,9689.0,9452
Category D,naive,2026-06-01,10000.0,9689
Category D,naive,2026-06-15,9989.0,10000
Category D,naive,2026-07-01,10201.0,9989
Category D,naive,2026-07-15,10202.0,10201
Category D,naive,2026-08-01,10503.0,10202
Category D,naive,2026-08-15,11301.0,10503
Category D,naive,2026-09-01,12556.0,11301
Category D,arima,2025-09-15,9209.0,9062
Category D,arima,2025-10-01,9810.0,9160
Category D,arima,2025-10-15,9389.0,9599
Category D,arima,2025-11-01,8600.0,9443
Category D,arima,2025-11-15,8729.0,8871
